NET	The total number of nets: 3153
	0,58,59
	0,56,56
	0,57,59
	0,58,57
	0,52,54
	0,48,57
	0,48,57
	0,47,57
	0,56,57
	0,57,59
	0,56,57
	0,57,57
	0,55,55
	0,54,54
	0,48,56
	0,46,57
	0,57,58
	0,56,56
	0,50,47
	0,48,58
	0,57,57
	0,56,57
	0,50,56
	0,47,55
net14	The number of pins: 58
	0,44,56
	0,43,56
	0,38,55
	0,39,54
	0,41,55
	0,39,56
	0,39,56
	0,43,56
	0,57,54
	0,49,65
	0,57,61
	0,56,61
	0,53,61
	0,58,63
	0,53,59
	0,54,66
	0,53,60
	0,52,66
	0,53,62
	0,52,64
	0,51,65
	0,50,64
	0,50,66
	0,54,65
	0,52,66
	0,52,59
	0,50,65
	0,54,65
	0,55,63
	0,55,66
	0,50,66
	0,55,62
	0,54,63
	0,55,60
	0,55,60
	0,52,60
	0,52,60
	0,57,62
	0,52,62
	0,54,59
	0,57,63
	0,56,63
	0,55,62
	0,56,62
	0,54,60
	0,56,65
	0,56,66
	0,52,65
	0,56,64
	0,52,59
	0,52,65
	0,54,61
	0,53,66
	0,56,66
	0,54,62
	0,53,63
	0,57,59
	0,55,65
net15	The number of pins: 58
	0,59,46
	0,60,47
	0,63,18
	0,63,23
	0,64,15
	0,63,18
	0,64,27
	0,64,30
	0,61,17
	0,59,20
	0,64,20
	0,63,25
	0,64,26
	0,63,21
	0,60,18
	0,63,26
	0,64,18
	0,63,19
	0,61,21
	0,60,15
	0,64,31
	0,63,27
	0,64,23
	0,64,17
	0,64,27
	0,63,26
	0,63,16
	0,59,18
	0,61,15
	0,64,18
	0,61,21
	0,63,20
	0,63,17
	0,64,15
	0,64,29
	0,64,26
	0,64,29
	0,63,21
	0,63,22
	0,64,23
	0,64,25
	0,64,21
	0,64,19
	0,63,15
	0,64,20
	0,64,28
	0,63,17
	0,61,16
	0,64,22
	0,63,28
	0,64,24
	0,64,21
	0,61,20
	0,64,16
	0,61,18
	0,64,17
	0,64,24
	0,63,20
net16	The number of pins: 57
	0,38,21
	0,35,21
	0,38,21
	0,34,21
	0,16,31
	0,18,32
	0,34,28
	0,10,35
	0,15,34
	0,10,35
	0,15,35
	0,12,35
	0,26,38
	0,34,30
	0,13,36
	0,36,33
	0,35,33
	0,35,35
	0,21,38
	0,37,36
	0,27,38
	0,27,39
	0,18,38
	0,35,40
	0,37,39
	0,19,38
	0,43,45
	0,13,56
	0,42,43
	0,41,47
	0,10,53
	0,41,50
	0,11,54
	0,13,58
	0,38,48
	0,32,47
	0,28,46
	0,25,44
	0,10,54
	0,11,54
	0,36,50
	0,36,50
	0,27,48
	0,28,49
	0,27,47
	0,12,53
	0,38,50
	0,27,44
	0,14,48
	0,12,52
	0,25,45
	0,10,53
	0,10,54
	0,10,56
	0,42,52
	0,37,51
	0,11,55
net17	The number of pins: 57
	0,56,41
	0,53,40
	0,54,56
	0,55,41
	0,8,47
	0,8,47
	0,54,40
	0,54,43
	0,55,41
	0,8,44
	0,54,43
	0,54,44
	0,53,46
	0,54,45
	0,55,45
	0,11,55
	0,9,48
	0,10,47
	0,54,41
	0,53,48
	0,9,51
	0,9,48
	0,55,41
	0,13,56
	0,53,48
	0,9,50
	0,47,52
	0,9,53
	0,8,52
	0,51,56
	0,29,48
	0,50,50
	0,50,50
	0,49,51
	0,55,46
	0,46,54
	0,49,52
	0,53,54
	0,50,49
	0,16,57
	0,51,56
	0,47,56
	0,18,57
	0,51,55
	0,53,52
	0,49,50
	0,37,54
	0,51,56
	0,46,56
	0,47,54
	0,33,55
	0,23,57
	0,41,54
	0,38,54
	0,29,54
	0,28,56
	0,41,56
net18	The number of pins: 57
	0,10,41
	0,12,41
	0,13,66
	0,8,66
	0,9,64
	0,11,62
	0,7,65
	0,13,65
	0,7,63
	0,7,65
	0,11,65
	0,15,63
	0,17,64
	0,11,66
	0,13,63
	0,8,66
	0,13,62
	0,10,63
	0,9,65
	0,16,62
	0,11,64
	0,13,62
	0,10,62
	0,7,64
	0,14,61
	0,14,66
	0,14,66
	0,16,49
	0,16,53
	0,10,66
	0,14,60
	0,17,57
	0,11,63
	0,16,62
	0,8,63
	0,11,66
	0,7,62
	0,10,66
	0,7,63
	0,11,62
	0,13,65
	0,7,66
	0,10,65
	0,9,65
	0,14,65
	0,13,51
	0,15,64
	0,12,65
	0,13,66
	0,12,64
	0,11,63
	0,15,52
	0,14,60
	0,13,51
	0,14,53
	0,17,53
	0,17,57
net19	The number of pins: 56
	0,44,14
	0,46,14
	0,50,14
	0,50,15
	0,55,18
	0,34,21
	0,30,23
	0,50,19
	0,53,17
	0,58,18
	0,56,19
	0,58,19
	0,58,17
	0,57,19
	0,56,19
	0,54,18
	0,55,18
	0,53,19
	0,52,29
	0,54,17
	0,53,19
	0,50,24
	0,50,30
	0,54,33
	0,55,33
	0,51,33
	0,55,35
	0,55,33
	0,56,38
	0,57,39
	0,57,38
	0,58,39
	0,55,47
	0,59,45
	0,59,43
	0,53,47
	0,58,40
	0,57,47
	0,56,47
	0,56,47
	0,58,48
	0,54,51
	0,55,51
	0,54,33
	0,53,50
	0,51,29
	0,56,51
	0,30,48
	0,34,49
	0,31,52
	0,35,53
	0,33,53
	0,34,53
	0,32,53
	0,30,51
	0,30,52
net20	The number of pins: 56
	0,63,11
	0,63,14
	0,63,11
	0,64,9
	0,62,9
	0,62,12
	0,62,10
	0,48,11
	0,63,11
	0,62,11
	0,64,10
	0,62,10
	0,64,14
	0,62,11
	0,49,12
	0,48,12
	0,63,10
	0,64,12
	0,63,12
	0,61,11
	0,63,11
	0,48,11
	0,62,12
	0,64,12
	0,63,12
	0,61,11
	0,64,11
	0,62,11
	0,61,10
	0,63,12
	0,64,11
	0,64,12
	0,64,9
	0,63,12
	0,64,12
	0,62,11
	0,55,12
	0,50,12
	0,53,14
	0,64,13
	0,63,9
	0,64,11
	0,62,12
	0,63,10
	0,63,9
	0,54,12
	0,54,12
	0,64,10
	0,59,12
	0,64,11
	0,62,12
	0,49,12
	0,61,11
	0,53,16
	0,50,16
	0,62,16
net21	The number of pins: 55
	0,11,3
	0,10,5
	0,12,4
	0,11,5
	0,10,4
	0,39,17
	0,38,15
	0,20,15
	0,10,5
	0,12,5
	0,12,4
	0,13,6
	0,12,3
	0,19,16
	0,20,15
	0,12,5
	0,12,5
	0,12,6
	0,10,3
	0,11,5
	0,12,6
	0,12,5
	0,13,5
	0,11,6
	0,11,5
	0,11,3
	0,11,4
	0,11,6
	0,13,4
	0,13,3
	0,34,20
	0,37,11
	0,36,17
	0,19,20
	0,26,23
	0,39,24
	0,28,25
	0,39,27
	0,15,30
	0,39,22
	0,16,31
	0,28,29
	0,16,32
	0,32,35
	0,30,29
	0,29,32
	0,27,33
	0,18,33
	0,18,33
	0,19,33
	0,17,33
	0,15,34
	0,27,35
	0,12,34
	0,13,34
net22	The number of pins: 55
	0,46,2
	0,48,2
	0,46,1
	0,47,1
	0,46,0
	0,47,1
	0,47,2
	0,46,0
	0,46,2
	0,47,3
	0,48,2
	0,48,3
	0,49,1
	0,47,2
	0,48,3
	0,48,1
	0,47,0
	0,49,2
	0,47,2
	0,48,0
	0,47,0
	0,47,2
	0,46,0
	0,48,2
	0,49,0
	0,46,0
	0,48,0
	0,47,0
	0,46,3
	0,47,0
	0,49,0
	0,49,2
	0,48,3
	0,47,3
	0,41,9
	0,46,1
	0,48,1
	0,47,2
	0,48,3
	0,44,5
	0,46,5
	0,43,11
	0,39,11
	0,48,15
	0,44,15
	0,43,11
	0,44,12
	0,41,11
	0,44,16
	0,42,12
	0,49,15
	0,46,17
	0,45,16
	0,42,17
	0,42,17
net23	The number of pins: 55
	0,53,6
	0,53,4
	0,53,4
	0,53,5
	0,53,3
	0,52,6
	0,54,4
	0,53,3
	0,53,2
	0,51,6
	0,53,5
	0,52,4
	0,53,3
	0,53,2
	0,53,6
	0,52,4
	0,53,5
	0,51,6
	0,51,4
	0,52,6
	0,52,3
	0,51,5
	0,52,5
	0,51,3
	0,54,3
	0,53,5
	0,51,3
	0,51,5
	0,51,4
	0,52,3
	0,54,5
	0,51,5
	0,53,3
	0,52,5
	0,54,4
	0,54,3
	0,51,5
	0,54,5
	0,52,5
	0,52,6
	0,53,9
	0,48,8
	0,50,8
	0,54,9
	0,51,12
	0,48,9
	0,49,12
	0,53,12
	0,51,9
	0,49,13
	0,43,14
	0,54,11
	0,44,14
	0,43,17
	0,43,17
net24	The number of pins: 55
	0,55,3
	0,55,0
	0,56,2
	0,56,2
	0,56,0
	0,55,0
	0,56,0
	0,49,9
	0,55,3
	0,54,2
	0,55,2
	0,55,1
	0,53,2
	0,53,1
	0,57,2
	0,54,2
	0,50,11
	0,56,3
	0,56,0
	0,56,2
	0,55,2
	0,53,0
	0,53,0
	0,54,0
	0,54,0
	0,54,0
	0,54,3
	0,56,0
	0,56,2
	0,54,0
	0,55,2
	0,55,3
	0,54,8
	0,53,9
	0,50,9
	0,51,11
	0,48,10
	0,55,1
	0,54,3
	0,57,1
	0,54,2
	0,56,3
	0,54,2
	0,50,11
	0,54,2
	0,56,1
	0,55,0
	0,54,1
	0,54,1
	0,53,11
	0,57,2
	0,56,1
	0,55,0
	0,54,6
	0,54,10
net25	The number of pins: 54
	0,8,45
	0,15,50
	0,9,44
	0,7,42
	0,14,51
	0,14,47
	0,12,48
	0,15,45
	0,13,48
	0,12,46
	0,45,46
	0,46,46
	0,46,49
	0,30,46
	0,48,48
	0,29,49
	0,30,44
	0,16,48
	0,17,53
	0,17,52
	0,16,52
	0,13,47
	0,15,50
	0,46,52
	0,43,53
	0,32,51
	0,15,53
	0,35,53
	0,35,51
	0,31,51
	0,28,51
	0,48,48
	0,44,55
	0,45,49
	0,37,53
	0,32,51
	0,23,52
	0,14,59
	0,45,49
	0,44,57
	0,16,59
	0,27,51
	0,23,51
	0,26,51
	0,24,53
	0,22,54
	0,22,54
	0,21,56
	0,17,56
	0,17,56
	0,19,57
	0,19,57
	0,20,57
	0,18,56
net26	The number of pins: 54
	0,9,46
	0,13,45
	0,37,46
	0,11,56
	0,9,47
	0,14,56
	0,11,50
	0,13,50
	0,17,51
	0,16,54
	0,30,48
	0,8,51
	0,9,51
	0,29,48
	0,30,48
	0,10,52
	0,8,51
	0,38,52
	0,11,50
	0,36,49
	0,35,50
	0,16,56
	0,35,49
	0,20,54
	0,33,54
	0,21,56
	0,35,54
	0,32,54
	0,26,55
	0,36,54
	0,31,54
	0,30,53
	0,30,54
	0,27,54
	0,24,54
	0,23,55
	0,25,55
	0,20,55
	0,10,59
	0,11,60
	0,11,60
	0,11,60
	0,10,59
	0,10,59
	0,10,60
	0,11,59
	0,9,60
	0,11,60
	0,10,60
	0,11,59
	0,12,59
	0,11,59
	0,11,57
	0,12,60
net27	The number of pins: 53
	0,57,42
	0,56,42
	0,56,43
	0,59,42
	0,57,42
	0,58,43
	0,60,44
	0,60,45
	0,58,44
	0,58,48
	0,61,45
	0,54,45
	0,60,46
	0,58,47
	0,57,48
	0,59,53
	0,49,51
	0,52,52
	0,59,52
	0,50,51
	0,52,49
	0,50,53
	0,54,48
	0,57,48
	0,51,51
	0,51,50
	0,61,47
	0,60,48
	0,59,50
	0,60,51
	0,56,48
	0,56,49
	0,58,50
	0,60,48
	0,59,51
	0,49,53
	0,49,51
	0,48,51
	0,49,53
	0,59,51
	0,60,51
	0,60,50
	0,51,49
	0,51,52
	0,49,51
	0,48,53
	0,58,50
	0,60,50
	0,48,52
	0,51,50
	0,48,53
	0,49,51
	0,48,53
net28	The number of pins: 52
	0,63,24
	0,60,24
	0,55,21
	0,60,24
	0,62,24
	0,62,23
	0,59,24
	0,63,24
	0,60,21
	0,63,24
	0,59,23
	0,61,24
	0,62,25
	0,61,22
	0,63,23
	0,61,26
	0,61,24
	0,59,21
	0,60,23
	0,61,24
	0,61,23
	0,61,23
	0,62,24
	0,61,24
	0,61,22
	0,63,23
	0,60,23
	0,62,24
	0,61,26
	0,58,21
	0,62,22
	0,62,23
	0,61,26
	0,61,25
	0,60,21
	0,45,23
	0,46,23
	0,44,21
	0,55,22
	0,18,29
	0,50,21
	0,47,22
	0,58,23
	0,55,21
	0,49,20
	0,37,27
	0,47,26
	0,50,21
	0,31,30
	0,28,42
	0,14,42
	0,14,41
net29	The number of pins: 52
	0,3,46
	0,4,45
	0,6,45
	0,10,46
	0,17,59
	0,19,58
	0,6,54
	0,8,56
	0,4,51
	0,2,48
	0,4,53
	0,18,58
	0,4,47
	0,7,50
	0,37,52
	0,36,48
	0,36,52
	0,18,59
	0,37,53
	0,37,53
	0,5,61
	0,5,62
	0,6,60
	0,19,59
	0,7,54
	0,6,61
	0,6,62
	0,36,53
	0,5,60
	0,5,61
	0,6,62
	0,6,61
	0,33,60
	0,35,53
	0,38,53
	0,19,59
	0,6,60
	0,5,62
	0,6,60
	0,7,62
	0,34,56
	0,35,50
	0,35,55
	0,31,56
	0,19,57
	0,26,55
	0,6,62
	0,7,61
	0,7,60
	0,7,60
	0,30,57
	0,31,57
net30	The number of pins: 51
	0,54,40
	0,56,41
	0,55,40
	0,56,41
	0,56,44
	0,53,43
	0,57,44
	0,56,45
	0,54,47
	0,56,44
	0,57,45
	0,57,45
	0,57,44
	0,48,49
	0,57,47
	0,56,50
	0,52,50
	0,52,51
	0,51,51
	0,55,51
	0,55,47
	0,55,48
	0,52,51
	0,47,55
	0,49,52
	0,46,53
	0,50,53
	0,54,50
	0,48,54
	0,46,56
	0,46,56
	0,56,56
	0,55,55
	0,54,50
	0,49,53
	0,57,55
	0,55,56
	0,56,56
	0,56,55
	0,54,53
	0,47,56
	0,46,56
	0,57,55
	0,55,54
	0,52,54
	0,52,53
	0,51,45
	0,50,53
	0,48,56
	0,49,54
	0,56,54
net31	The number of pins: 51
	0,59,42
	0,59,40
	0,57,41
	0,59,40
	0,61,42
	0,57,41
	0,62,42
	0,60,45
	0,59,43
	0,62,50
	0,60,45
	0,50,46
	0,61,45
	0,51,48
	0,60,47
	0,51,48
	0,53,46
	0,61,52
	0,63,53
	0,63,45
	0,60,44
	0,56,48
	0,60,53
	0,52,48
	0,50,48
	0,62,52
	0,64,48
	0,64,50
	0,60,52
	0,63,48
	0,62,48
	0,52,47
	0,54,47
	0,58,49
	0,50,46
	0,56,48
	0,52,46
	0,53,47
	0,63,53
	0,61,52
	0,63,52
	0,63,48
	0,59,52
	0,51,47
	0,51,47
	0,64,48
	0,58,51
	0,57,46
	0,63,47
	0,63,48
	0,63,52
net32	The number of pins: 50
	0,50,15
	0,36,13
	0,53,18
	0,49,15
	0,48,13
	0,50,15
	0,52,18
	0,44,13
	0,43,13
	0,43,12
	0,41,15
	0,45,13
	0,51,16
	0,51,17
	0,41,16
	0,51,18
	0,41,23
	0,51,15
	0,48,14
	0,46,14
	0,35,23
	0,51,17
	0,51,15
	0,47,15
	0,34,21
	0,47,15
	0,47,17
	0,51,18
	0,49,20
	0,49,18
	0,30,23
	0,49,29
	0,48,32
	0,26,47
	0,49,30
	0,48,34
	0,48,33
	0,51,38
	0,53,42
	0,52,36
	0,52,39
	0,52,39
	0,52,40
	0,52,44
	0,52,40
	0,54,41
	0,51,44
	0,54,41
	0,47,44
	0,47,48
net33	The number of pins: 49
	0,55,42
	0,55,40
	0,55,41
	0,55,43
	0,54,42
	0,55,44
	0,54,42
	0,55,45
	0,51,43
	0,55,45
	0,53,45
	0,55,43
	0,54,45
	0,56,47
	0,53,47
	0,52,54
	0,53,48
	0,50,51
	0,55,53
	0,48,48
	0,50,52
	0,47,53
	0,47,50
	0,53,51
	0,52,54
	0,45,53
	0,46,54
	0,45,56
	0,50,54
	0,53,53
	0,52,51
	0,53,49
	0,54,53
	0,54,56
	0,54,54
	0,48,54
	0,48,54
	0,53,53
	0,53,53
	0,49,54
	0,48,53
	0,47,54
	0,48,55
	0,53,51
	0,54,53
	0,52,53
	0,47,53
	0,54,50
	0,48,47
net34	The number of pins: 49
	0,41,4
	0,41,0
	0,43,0
	0,44,1
	0,43,1
	0,42,0
	0,41,3
	0,42,0
	0,44,0
	0,43,1
	0,43,2
	0,41,3
	0,43,2
	0,42,1
	0,42,0
	0,42,0
	0,44,2
	0,42,2
	0,42,2
	0,42,2
	0,44,1
	0,43,0
	0,43,0
	0,41,2
	0,43,2
	0,42,1
	0,43,0
	0,42,10
	0,42,2
	0,42,5
	0,35,17
	0,42,16
	0,35,17
	0,38,12
	0,42,10
	0,43,12
	0,42,15
	0,38,11
	0,40,17
	0,42,15
	0,41,11
	0,42,13
	0,38,11
	0,42,13
	0,42,12
	0,42,17
	0,38,13
	0,42,17
	0,41,17
net35	The number of pins: 48
	0,58,45
	0,56,42
	0,56,42
	0,56,45
	0,54,42
	0,57,44
	0,55,42
	0,16,45
	0,16,45
	0,16,42
	0,17,49
	0,17,49
	0,57,45
	0,58,45
	0,57,44
	0,50,47
	0,58,44
